Date,Timefile,Time,Frame,Size (cm),Direction,Notes
July 5,05:20,05:28:38,2415/2790,43,up,
July 5,06:20,06:21:16,350/2780,54,up,
July 5,06:20,06:22:52,800/2780,53,↻,
July 5,06:20,06:24:22,1224/2780,59,↻,
July 5,06:20,06:29:15,2573/2780,51,↻,
July 5,06:50,06:50:50,228/2788,50,↻,
July 5,07:40,07:44:53,1367/2781,50,↻,
July 5,07:40,07:48:41,2416/2781,47,↻,
July 5,21:40,21:45:02,1388/2771,55,↻,whole block
July 5,22:00,22:00:37,168/2795,64,↻,
July 5,22:00,22:07:32,2101/2795,45,↻,
July 5,22:00,22:09:09,2557/2795,61,↻,
July 5,22:30,22:31:45,482/2779,58,↻,
July 5,23:00,22:05:38,1564/2779,60,DS,
July 5,23:40,22:41:14,333/2764,52,DS,
July 9,00:20,00:20:19,35/2802,84,DS,
July 9,00:20,00:20:31,142/2802,49,up,
July 9,00:20,00:20:53,245/2802,40,up,
July 9,00:20,00:21:03,293/2802,40,up,
July 9,00:20,00:21:28,413/2802,60,up,
July 9,00:20,00:21:15,348/2802,71,up,
July 9,00:20,00:22:21,658/2802,61,up,
July 9,00:20,00:23:13,900/2802,59,up,
July 9,00:20,00:23:37,1014/2802,57,up,
July 9,00:20,00:26:46,1903/2802,57,up,
July 9,00:20,00:27:46,2184/2802,56,up,
July 9,00:20,00:28:22,2340/2802,40,up,
July 9,00:20,00:29:21,2617/2802,77,DS,
July 9,00:20,00:29:55,2781/2802,78,↻,
July 9,00:40,00:40:54,242/2800,73,up,
July 9,00:40,00:44:43,1322/2800,67,↻,
July 9,00:40,00:44:56,1384/2800,66,↻,
July 9,00:40,00:45:22,1503/2800,67,↻,
July 9,00:40,00:45:26,1520/2800,51,up,
July 9,00:40,00:46:04,1705/2800,59,↻,
July 9,00:40,00:46:48,1910/2800,57,up,
July 9,00:40,00:47:18,2050/2800,66,up,
July 9,00:40,00:48:28,2368/2800,61,up,
July 9,01:40,01:43:02,833/2780,58,up,
July 9,01:40,01:43:10,868/2780,64,up,
July 9,01:40,01:44:22,1197/2780,83,up,
July 9,01:40,01:44:41,1289/2780,61,up,
July 9,01:40,01:46:55,1921/2780,47,up,
July 9,01:40,01:47:27,2072/2780,58,up,
July 9,01:40,01:49:11,2555/2780,95,DS,
July 9,01:40,01:49:52,2744/2780,89,up,
July 9,01:20,01:20:52,236/2799,55,up,
July 9,01:20,01:20:58,263/2799,52,up,
July 9,01:20,01:21:28,408/2799,47,up,
July 9,01:20,01:21:42,468/2799,58,up,
July 9,01:20,01:21:47,489/2799,59,↻,
July 9,01:20,01:22:17,631/2799,48,up,
July 9,01:20,01:23:18,918/2799,63,up,
July 9,01:20,01:28:04,2266/2799,57,up,
July 9,01:20,01:28:46,2459/2799,69,up,
July 9,01:20,NA,2594/2799,55,up,
July 9,02:50,02:51:07,306/2803,41,up,
July 9,02:50,02:51:12,334/2803,86,DS,
July 9,02:50,02:52:04,573/2803,73,up,
July 9,02:50,02:52:11,608/2803,63,DS,
